"","name","Right.ascension","Declination","SpType","RA","DE"
"1","HD 29789","04 h 41m 34.8451s","-00° 44' 38.275","F2",70.3951879166667,-0.743965277777778
"2","HD 31622","04 h 57m 23.4780s","+00° 59' 31.227","G5",74.347825,0.9920075
"3","HD 23261","03 h 43m 54.3405s","+03° 26' 46.875","G5",55.97641875,3.44635416666667
"4","BD+04° 568","03 h 40m 07.1925s","+04° 37' 49.227","G0",55.02996875,4.63034083333333
"5","HD 27935","04 h 24m 43.2257s","+04° 41' 59.805","G5",66.1801070833333,4.69994583333333
"6","HD 28069","04 h 25m 57.3388s","+05° 09' 00.521","F5",66.4889116666667,5.15014472222222
"7","HD 28736","04 h 32m 04.8091s","+05° 24' 36.126","F5V",68.0200379166667,5.410035
"8","45 Tau","04 h 11m 20.2818s","+05° 31' 22.970","F4V",62.8345075,5.52304722222222
"9","V* V1362 Ori","05h 05m 40.3754s","+06° 27' 54.638","K2",76.4182308333333,6.46517722222222
"10","HD 20430","03 h 17m 26.3879s","+07° 39' 20.907","F8V",49.3599495833333,7.6558075
"11","HD 20439","03 h 17m 32.7809s","+07° 41' 24.548","G0",49.3865870833333,7.69015222222222
"12","HD 29499","04 h 39m 06.1570s","+07° 52' 15.515","A5m",69.7756541666667,7.87097638888889
"13","HD 25570","04 h 03m 56.6043s","+08° 11' 50.170","F2V",60.98585125,8.19726944444444
"14","HD 23805","03 h 48m 22.3927s","+08° 34' 49.365","G5",57.0933029166667,8.58037916666667
"15","HD 30311","04 h 46m 45.5764s","+09° 01' 02.714","F9.5V",71.6899016666667,9.01742055555556
"16","NSV 2792","06h 02m 22.9988s","+09° 38' 50.196","A2V",90.5958283333333,9.64727666666667
"17","NSV 1849","05h 09m 19.6419s","+09° 49' 46.483","A2m",77.33184125,9.82957861111111
"18","BD+09° 409","03 h 11m 01.0983s","+09° 59' 22.749","G0",47.75457625,9.9896525
"19","HD 287234","04 h 55m 26.2783s","+10° 12' 29.781","G0",73.8594929166667,10.2082725
"20","HD 25102","03 h 59m 40.4935s","+10° 19' 49.448","F5V",59.9187229166667,10.3304022222222
"21","HD 26784","04 h 14m 34.3411s","+10° 42' 04.996","F8V",63.6430879166667,10.7013877777778
"22","HD 28608","04 h 30m 57.1723s","+10° 45' 06.365","F5",67.7382179166667,10.7517680555556
"23","HD 287220","04 h 51m 58.4130s","+10° 48' 14.259","F8",72.9933875,10.8039608333333
"24","CCDM J04512+11°04AB","04 h 51m 12.5334s","+11° 04' 04.893","F6V",72.8022225,11.0680258333333
"25","NSV 1705","04 h 44m 25.8283s","+11° 08' 46.092","F0V",71.1076179166667,11.1461366666667
"26","HD 20278","03 h 16m 03.1258s","+11° 37' 42.413","G5",49.0130241666667,11.6284480555556
"27","HD 30210","04 h 46m 01.7410s","+11° 42' 20.128","Am",71.5072541666667,11.7055911111111
"28","HD 28237","04 h 27m 46.0747s","+11° 44' 11.112","F8",66.9419779166667,11.73642
"29","HD 26767","04 h 14m 27.2561s","+12° 26' 07.166","G0",63.6135670833333,12.4353238888889
"30","c Tau","04 h 38m 09.4625s","+12° 30' 39.017","A6V",69.5394270833333,12.5108380555556
"31","* b Tau","04 h 28m 50.1641s","+13° 02' 51.369","A7V",67.2090170833333,13.0476025
