"","recno","HIP","RAhms","DEdms","Vmag","RA","DE","Plx","pmRA","pmDE","B.V","SpType"
"1",9347,9353,"02 00 09.02","+03 05 51.5",5.89,30.04,3.1,32.18,231.21,-255.2,0.61,"G2IV"
"2",9457,9463,"02 01 47.83","+13 01 28.2",10.16,30.45,13.02,24.83,-128.28,-146.27,1.19,"K7V:"
"3",9467,9473,"02 01 52.40","+07 51 52.2",7.06,30.47,7.86,21.43,121.23,-49.33,0.51,"F2"
"4",9481,9487,"02 02 02.80","+02 45 49.5",3.82,30.51,2.76,23.45,33.29,-0.42,0.02,"A2"
"5",9482,9488,"02 02 03.37","+03 56 27.9",10.48,30.51,3.94,25.12,-338.69,-325.39,1.25,"K7V:"
"6",9486,9492,"02 02 07.17","+22 06 15.2",7.21,30.53,22.1,18.56,8.18,-51.16,0.5,"F8V"
"7",9513,9519,"02 02 26.71","+02 48 57.2",8.18,30.61,2.82,21.24,34.96,-8.54,0.65,"F8"
"8",9570,9576,"02 03 01.60","+03 21 29.8",6.88,30.76,3.36,20.63,220.25,138.03,0.66,"G0"
"9",9592,9599,"02 03 28.21","+09 53 12.7",11.86,30.87,9.89,23.48,170.12,-4.47,1.38,"K7"
"10",9600,9607,"02 03 32.80","+12 35 05.4",11.54,30.89,12.58,21.7,382.01,-53.82,1.34,"K7V:"
"11",9614,9621,"02 03 39.26","+25 56 07.6",5.64,30.91,25.94,18.9,125.66,9.27,0.54,"F8IV"
"12",9675,9683,"02 04 34.36","+25 24 53.0",7.43,31.14,25.41,26.91,-107.81,-175.26,0.71,"K0"
"13",9701,9709,"02 04 53.44","+11 24 18.1",8.8,31.22,11.41,20.35,59.62,60.6,0.73,"G5"
"14",9706,9714,"02 04 58.47","+22 48 11.2",9.51,31.24,22.8,19.49,359.62,-345.4,0.89,"K1"
"15",9734,9742,"02 05 19.13","+00 19 22.5",8.68,31.33,0.32,20.85,1.4,-26.91,0.68,"G5V"
"16",9754,9762,"02 05 30.18","+05 41 50.1",12.02,31.38,5.7,26.21,104.43,-282.73,1.43,"M1V:"
"17",9756,9764,"02 05 31.67","+12 10 07.9",10.03,31.38,12.17,20.89,-15.1,-81.04,1,"K8"
"18",9912,9920,"02 07 42.19","+07 57 31.9",11.22,31.93,7.96,22.44,-10.92,-135.87,1.27,"K7V:"
"19",9963,9972,"02 08 23.75","+28 18 20.8",10.62,32.1,28.31,25.58,241.03,-300.1,0.71,""
"20",9964,9971,"02 08 23.77","+28 18 41.5",9.96,32.1,28.31,18.62,226.7,-303.03,0.82,"G5"
"21",10042,10050,"02 09 23.03","+17 13 28.7",6.4,32.35,17.22,25.47,136.08,-186.23,0.47,"F5V"
"22",10167,10175,"02 10 52.01","+13 41 00.4",7.63,32.72,13.68,20.41,111.71,-73.24,0.7,"G5+..."
"23",10204,10212,"02 11 21.16","+08 34 12.3",5.64,32.84,8.57,23.52,-141.2,-114.26,0.57,"G0IV"
"24",10210,10218,"02 11 22.98","+21 22 38.6",7.33,32.85,21.38,30.76,274.6,-12.41,0.68,"G5V"
"25",10250,10258,"02 11 58.07","+04 21 42.5",9.7,32.99,4.36,20.55,-146.48,-78.57,1.04,"K7V:"
"26",10264,10272,"02 12 15.33","+23 57 30.9",7.71,33.06,23.96,30.99,127.12,-160.41,1.13,"K1III-IV"
"27",10268,10276,"02 12 18.10","+21 58 58.2",8.46,33.08,21.98,29.52,-115.07,-60.32,0.78,"G5"
"28",10298,10306,"02 12 47.98","+21 12 39.5",5.23,33.2,21.21,33.19,162.52,4.07,0.46,"F5V"
"29",10502,10510,"02 15 27.15","+27 21 27.4",8.12,33.86,27.36,26.89,286.65,-138.55,0.71,"G8V"
"30",10526,10535,"02 15 42.83","+25 02 35.7",5.57,33.93,25.04,20.77,-88.69,-87.16,0.52,"F6V"
"31",10533,10540,"02 15 45.94","+25 46 59.2",5.79,33.94,25.78,24.93,176.41,-66.38,0.44,"F6IV-V"
"32",10544,10552,"02 15 53.47","+06 37 35.3",8.99,33.97,6.63,26.37,-114.08,-54.72,1.09,"K7V:"
"33",10591,10599,"02 16 27.60","+12 22 49.1",7.99,34.11,12.38,29.35,226.46,-220.44,0.79,"G5"
"34",10608,10616,"02 16 40.56","+06 31 45.9",9.41,34.17,6.53,18.18,25.09,-28.99,0.85,"K7"
"35",10671,10679,"02 17 24.68","+28 44 31.0",7.75,34.35,28.74,29.4,98.15,-67.41,0.62,"G2V"
"36",10672,10680,"02 17 25.23","+28 44 42.8",6.99,34.36,28.75,25.37,94.34,-72.17,0.52,"F5V"
"37",10674,10682,"02 17 26.41","+27 08 16.4",10.93,34.36,27.14,18.51,200.47,-260.14,1.06,"G8V"
"38",10802,10810,"02 19 08.73","+19 41 16.8",6.82,34.79,19.69,29.74,-22.17,-125.56,0.57,"F8"
"39",10913,10921,"02 20 39.17","+13 40 12.8",9.12,35.16,13.67,18.4,257.45,-40.57,0.79,"K0"
"40",11020,11028,"02 22 00.87","+04 44 47.6",8.26,35.5,4.75,25.23,-21.68,78.98,0.72,"G0"
"41",11075,11083,"02 22 41.49","+18 24 37.6",8.83,35.67,18.41,29.51,261.72,86.19,0.91,"K0"
"42",11143,11152,"02 23 26.58","+22 44 07.7",11.09,35.86,22.74,32.56,92.74,-113.42,NA,""
"43",11148,11157,"02 23 32.22","+19 37 55.4",8.97,35.88,19.63,18.6,68.4,4.02,0.68,"G5"
"44",11173,11182,"02 24 00.27","+04 52 18.3",10.35,36,4.87,26.69,-31.48,21.46,1.2,"K7V:"
"45",11308,11317,"02 25 40.07","+28 45 58.9",9.04,36.42,28.77,28.1,169,-97.63,0.96,"K8"
"46",11351,11360,"02 26 16.19","+06 17 33.6",6.79,36.57,6.29,22.33,86.09,-50.13,0.4,"F2"
"47",11418,11427,"02 27 23.56","+10 11 55.7",6.45,36.85,10.2,27.5,-294.97,-202.12,0.45,"F5V"
"48",11428,11437,"02 27 29.20","+30 58 25.2",10.12,36.87,30.97,23.66,79.5,-70.09,1.21,"K8"
"49",11434,11443,"02 27 33.31","+07 42 45.1",9.91,36.89,7.71,29.13,104.5,-190.56,0.95,"K8"
"50",11475,11484,"02 28 09.52","+08 27 36.3",4.3,37.04,8.46,18.53,41.72,-14.46,-0.05,"B9III"
"51",11477,11486,"02 28 09.99","+29 40 10.3",5.29,37.04,29.67,21.01,-14.81,-85.5,0.31,"F0III"
"52",11498,11507,"02 28 22.93","+01 28 54.4",8.56,37.1,1.48,21.8,-13.87,-92.19,0.7,"G5"
"53",11539,11548,"02 28 48.54","+29 55 53.7",5.89,37.2,29.93,32.48,-65.37,72.52,0.59,"G0V"
"54",11661,11670,"02 30 32.31","+25 14 06.8",5.88,37.63,25.24,19.59,61.69,-72.93,0.41,"F6IV"
"55",11698,11707,"02 31 03.06","+08 22 55.9",10.9,37.76,8.38,28.19,375.11,-87,1.34,"K7V:"
"56",11719,11728,"02 31 24.08","+22 05 14.4",8.03,37.85,22.09,23.9,144.9,62.2,0.67,"G0"
"57",11806,11815,"02 32 23.10","+03 22 57.3",11.74,38.1,3.38,21.71,138.87,19.17,1.36,"K7"
